"","Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths","state"
"1","Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33166.2,1260,"AL"
"2","Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)","Severe Storm",19810505,19810510,1188.2,20,"AL"
"3","Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1807.5,85,"AL"
"4","Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1319.3,33,"AL"
"5","Gulf States Storms and Flooding (December 1982-January 1983)","Flooding",19821201,19830115,4193.5,45,"AL"
"6","Southeast Drought (Summer 1983)","Drought",19830601,19830831,7795.5,0,"AL"
"7","Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5275.3,151,"AL"
"8","Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2042,150,"AL"
"9","Hurricane Elena (September 1985)","Tropical Cyclone",19850830,19850903,3165.6,4,"AL"
"10","Hurricane Juan (October 1985)","Tropical Cyclone",19851027,19851031,3651.9,63,"AL"
"11","Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4238.6,100,"AL"
"12","U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,44408.3,454,"AL"
"13","Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1441.8,100,"AL"
"14","Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1231.9,0,"AL"
"15","Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1221.8,26,"AL"
"16","East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,9948.6,270,"AL"
"17","Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2264.4,16,"AL"
"18","Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5275.8,9,"AL"
"19","Tropical Storm Alberto (July 1994)","Tropical Cyclone",19940707,19940710,1757.4,32,"AL"
