State,Name,Phone Number
Alabama,"Byrne, Bradley",(202) 225-4931        
Alabama,"Roby, Martha",(202) 225-2901        
Alabama,"Rogers, Mike",(202) 225-3261        
Alabama,"Aderholt, Robert",(202) 225-4876        
Alabama,"Brooks, Mo",(202) 225-4801        
Alabama,"Palmer, Gary",(202) 225-4921        
Alabama,"Sewell, Terri A.",(202) 225-2665        
Alaska,"Young, Don",(202) 225-5765        
American Samoa,"Radewagen, Amata",(202) 225-8577        
Arizona,"O'Halleran, Tom",(202) 225-3361        
Arizona,"Kirkpatrick, Ann",(202) 225-2542        
Arizona,"Grijalva, Raul",(202) 225-2435        
Arizona,"Gosar, Paul A.",(202) 225-2315        
Arizona,"Biggs, Andy",(202) 225-2635        
Arizona,"Schweikert, David",(202) 225-2190        
Arizona,"Gallego, Ruben",(202) 225-4065        
Arizona,"Lesko, Debbie",(202) 225-4576        
Arizona,"Stanton, Greg",(202) 225-9888        
Arkansas,"Crawford, Rick",(202) 225-4076        
Arkansas,"Hill, French",(202) 225-2506        
Arkansas,"Womack, Steve",(202) 225-4301        
Arkansas,"Westerman, Bruce",(202) 225-3772        
California,"LaMalfa, Doug",(202) 225-3076        
California,"Huffman, Jared",(202) 225-5161        
California,"Garamendi, John",(202) 225-1880        
California,"McClintock, Tom",(202) 225-2511        
California,"Thompson, Mike",(202) 225-3311        
California,"Matsui, Doris O.",(202) 225-7163        
California,"Bera, Ami",(202) 225-5716        
California,"Cook, Paul",(202) 225-5861        
California,"McNerney, Jerry",(202) 225-1947        
California,"Harder, Josh",(202) 225-4540        
California,"DeSaulnier, Mark",(202) 225-2095        
California,"Pelosi, Nancy",(202) 225-4965        
California,"Lee, Barbara",(202) 225-2661        
California,"Speier, Jackie",(202) 225-3531        
California,"Swalwell, Eric",(202) 225-5065        
California,"Costa, Jim",(202) 225-3341        
California,"Khanna, Ro",(202) 225-2631        
California,"Eshoo, Anna G.",(202) 225-8104        
California,"Lofgren, Zoe",(202) 225-3072        
California,"Panetta, Jimmy",(202) 225-2861        
California,"Cox, TJ",(202) 225-4695        
California,"Nunes, Devin",(202) 225-2523        
California,"McCarthy, Kevin",(202) 225-2915        
California,"Carbajal, Salud",(202) 225-3601        
California,"Hill, Katie",(202) 225-1956        
California,"Brownley, Julia",(202) 225-5811        
California,"Chu, Judy",(202) 225-5464        
California,"Schiff, Adam",(202) 225-4176        
California,"Cárdenas, Tony",(202) 225-6131        
California,"Sherman, Brad",(202) 225-5911        
California,"Aguilar, Pete",(202) 225-3201        
California,"Napolitano, Grace",(202) 225-5256        
California,"Lieu, Ted",(202) 225-3976        
California,"Gomez, Jimmy",(202) 225-6235        
California,"Torres, Norma",(202) 225-6161        
California,"Ruiz, Raul",(202) 225-5330        
California,"Bass, Karen",(202) 225-7084        
California,"Sánchez, Linda",(202) 225-6676        
California,"Cisneros, Gilbert Ray Jr.",(202) 225-4111        
California,"Roybal-Allard, Lucille",(202) 225-1766        
California,"Takano, Mark",(202) 225-2305        
California,"Calvert, Ken",(202) 225-1986        
California,"Waters, Maxine",(202) 225-2201        
California,"Barragán, Nanette",(202) 225-8220        
California,"Porter, Katie",(202) 225-5611        
California,"Correa, J. Luis",(202) 225-2965        
California,"Lowenthal, Alan",(202) 225-7924        
California,"Rouda, Harley",(202) 225-2415        
California,"Levin, Mike",(202) 225-3906        
California,"Hunter, Duncan",(202) 225-5672        
California,"Vargas, Juan",(202) 225-8045        
California,"Peters, Scott",(202) 225-0508        
California,"Davis, Susan",(202) 225-2040        
Colorado,"DeGette, Diana",(202) 225-4431        
Colorado,"Neguse, Joe",(202) 225-2161        
Colorado,"Tipton, Scott",(202) 225-4761        
Colorado,"Buck, Ken",(202) 225-4676        
Colorado,"Lamborn, Doug",(202) 225-4422        
Colorado,"Crow, Jason",(202) 225-7882        
Colorado,"Perlmutter, Ed",(202) 225-2645        
Connecticut,"Larson, John B.",(202) 225-2265        
Connecticut,"Courtney, Joe",(202) 225-2076        
Connecticut,"DeLauro, Rosa L.",(202) 225-3661        
Connecticut,"Himes, Jim",(202) 225-5541        
Connecticut,"Hayes, Jahana",(202) 225-4476        
Delaware,"Blunt Rochester, Lisa",(202) 225-4165        
District of Columbia,"Norton, Eleanor Holmes",(202) 225-8050        
Florida,"Gaetz, Matt",(202) 225-4136        
Florida,"Dunn, Neal",(202) 225-5235        
Florida,"Yoho, Ted",(202) 225-5744        
Florida,"Rutherford, John",(202) 225-2501        
Florida,"Lawson, Al",(202) 225-0123        
Florida,"Waltz, Michael",(202) 225-2706        
Florida,"Murphy, Stephanie",(202) 225-4035        
Florida,"Posey, Bill",(202) 225-3671        
Florida,"Soto, Darren",(202) 225-9889        
Florida,"Demings, Val",(202) 225-2176        
Florida,"Webster, Daniel",(202) 225-1002        
Florida,"Bilirakis, Gus M.",(202) 225-5755        
Florida,"Crist, Charlie",(202) 225-5961        
Florida,"Castor, Kathy",(202) 225-3376        
Florida,"Spano, Ross",(202) 225-1252        
Florida,"Buchanan, Vern",(202) 225-5015        
Florida,"Steube, W. Gregory",(202) 225-5792        
Florida,"Mast, Brian",(202) 225-3026        
Florida,"Rooney, Francis",(202) 225-2536        
Florida,"Hastings, Alcee L.",(202) 225-1313        
Florida,"Frankel, Lois",(202) 225-9890        
Florida,"Deutch, Ted",(202) 225-3001        
Florida,"Wasserman Schultz, Debbie",(202) 225-7931        
Florida,"Wilson, Frederica",(202) 225-4506        
Florida,"Diaz-Balart, Mario",(202) 225-4211        
Florida,"Mucarsel-Powell, Debbie",(202) 225-2778        
Florida,"Shalala, Donna E.",(202) 225-3931        
Georgia,"Carter, Buddy",(202) 225-5831        
Georgia,"Bishop Jr., Sanford D.",(202) 225-3631        
Georgia,"Ferguson, A. Drew",(202) 225-5901        
Georgia,"Johnson, Henry C. ""Hank"" Jr.",(202) 225-1605        
Georgia,"Lewis, John",(202) 225-3801        
Georgia,"McBath, Lucy",(202) 225-4501        
Georgia,"Woodall, Robert",(202) 225-4272        
Georgia,"Scott, Austin",(202) 225-6531        
Georgia,"Collins, Doug",(202) 225-9893        
Georgia,"Hice, Jody",(202) 225-4101        
Georgia,"Loudermilk, Barry",(202) 225-2931        
Georgia,"Allen, Rick",(202) 225-2823        
Georgia,"Scott, David",(202) 225-2939        
Georgia,"Graves, Tom",(202) 225-5211        
Guam,"San Nicolas, Michael F. Q.",(202) 225-1188        
Hawaii,"Case, Ed",(202) 225-2726        
Hawaii,"Gabbard, Tulsi",(202) 225-4906        
Idaho,"Fulcher, Russ",(202) 225-6611        
Idaho,"Simpson, Mike",(202) 225-5531        
Illinois,"Rush, Bobby L.",(202) 225-4372        
Illinois,"Kelly, Robin",(202) 225-0773        
Illinois,"Lipinski, Daniel",(202) 225-5701        
Illinois,"García, Jesús ""Chuy""",(202) 225-8203        
Illinois,"Quigley, Mike",(202) 225-4061        
Illinois,"Casten, Sean",(202) 225-4561        
Illinois,"Davis, Danny K.",(202) 225-5006        
Illinois,"Krishnamoorthi, Raja",(202) 225-3711        
Illinois,"Schakowsky, Jan",(202) 225-2111        
Illinois,"Schneider, Bradley",(202) 225-4835        
Illinois,"Foster, Bill",(202) 225-3515        
Illinois,"Bost, Mike",(202) 225-5661        
Illinois,"Davis, Rodney",(202) 225-2371        
Illinois,"Underwood, Lauren",(202) 225-2976        
Illinois,"Shimkus, John",(202) 225-5271        
Illinois,"Kinzinger, Adam",(202) 225-3635        
Illinois,"Bustos, Cheri",(202) 225-5905        
Illinois,"LaHood,Darin",(202) 225-6201        
Indiana,"Visclosky, Peter",(202) 225-2461        
Indiana,"Walorski, Jackie",(202) 225-3915        
Indiana,"Banks, Jim",(202) 225-4436        
Indiana,"Baird, James",(202) 225-5037        
Indiana,"Brooks, Susan W.",(202) 225-2276        
Indiana,"Pence, Greg",(202) 225-3021        
Indiana,"Carson, André",(202) 225-4011        
Indiana,"Bucshon, Larry",(202) 225-4636        
Indiana,"Hollingsworth, Trey",(202) 225-5315        
Iowa,"Finkenauer, Abby",(202) 225-2911        
Iowa,"Loebsack, David",(202) 225-6576        
Iowa,"Axne, Cynthia",(202) 225-5476        
Iowa,"King, Steve",(202) 225-4426        
Kansas,"Marshall, Roger",(202) 225-2715        
Kansas,"Watkins, Steve",(202) 225-6601        
Kansas,"Davids, Sharice",(202) 225-2865        
Kansas,"Estes, Ron",(202) 225-6216        
Kentucky,"Comer, James",(202) 225-3115        
Kentucky,"Guthrie, S. Brett",(202) 225-3501        
Kentucky,"Yarmuth, John A.",(202) 225-5401        
Kentucky,"Massie, Thomas",(202) 225-3465        
Kentucky,"Rogers, Harold",(202) 225-4601        
Kentucky,"Barr, Andy",(202) 225-4706        
Louisiana,"Scalise, Steve",(202) 225-3015        
Louisiana,"Richmond, Cedric",(202) 225-6636        
Louisiana,"Higgins, Clay",(202) 225-2031        
Louisiana,"Johnson, Mike",(202) 225-2777        
Louisiana,"Abraham, Ralph",(202) 225-8490        
Louisiana,"Graves, Garret",(202) 225-3901        
Maine,"Pingree, Chellie",(202) 225-6116        
Maine,"Golden, Jared",(202) 225-6306        
Maryland,"Harris, Andy",(202) 225-5311        
Maryland,"Ruppersberger, C. A. Dutch",(202) 225-3061        
Maryland,"Sarbanes, John P.",(202) 225-4016        
Maryland,"Brown, Anthony",(202) 225-8699        
Maryland,"Hoyer, Steny H.",(202) 225-4131        
Maryland,"Trone, David",(202) 225-2721        
Maryland,"Cummings, Elijah E.",(202) 225-4741        
Maryland,"Raskin, Jamie",(202) 225-5341        
Massachusetts,"Neal, Richard E.",(202) 225-5601        
Massachusetts,"McGovern, James",(202) 225-6101        
Massachusetts,"Trahan, Lori",(202) 225-3411        
Massachusetts,"Kennedy III, Joseph P.",(202) 225-5931        
Massachusetts,"Clark, Katherine",(202) 225-2836        
Massachusetts,"Moulton, Seth",(202) 225-8020        
Massachusetts,"Pressley, Ayanna",(202) 225-5111        
Massachusetts,"Lynch, Stephen F.",(202) 225-8273        
Massachusetts,"Keating, William",(202) 225-3111        
Michigan,"Bergman, Jack",(202) 225-4735        
Michigan,"Huizenga, Bill",(202) 225-4401        
Michigan,"Amash, Justin",(202) 225-3831        
Michigan,"Moolenaar, John",(202) 225-3561        
Michigan,"Kildee, Daniel",(202) 225-3611        
Michigan,"Upton, Fred",(202) 225-3761        
Michigan,"Walberg, Tim",(202) 225-6276        
Michigan,"Slotkin, Elissa",(202) 225-4872        
Michigan,"Levin, Andy",(202) 225-4961        
Michigan,"Mitchell, Paul",(202) 225-2106        
Michigan,"Stevens, Haley",(202) 225-8171        
Michigan,"Dingell, Debbie",(202) 225-4071        
Michigan,"Tlaib, Rashida",(202) 225-5126        
Michigan,"Lawrence, Brenda",(202) 225-5802        
Minnesota,"Hagedorn, Jim",(202) 225-2472        
Minnesota,"Craig, Angie",(202) 225-2271        
Minnesota,"Phillips, Dean",(202) 225-2871        
Minnesota,"McCollum, Betty",(202) 225-6631        
Minnesota,"Omar, Ilhan",(202) 225-4755        
Minnesota,"Emmer, Tom",(202) 225-2331        
Minnesota,"Peterson, Collin C.",(202) 225-2165        
Minnesota,"Stauber, Pete",(202) 225-6211        
Mississippi,"Kelly, Trent",(202) 225-4306        
Mississippi,"Thompson, Bennie G.",(202) 225-5876        
Mississippi,"Guest, Michael",(202) 225-5031        
Mississippi,"Palazzo, Steven",(202) 225-5772        
Missouri,"Clay Jr., William ""Lacy""",(202) 225-2406        
Missouri,"Wagner, Ann",(202) 225-1621        
Missouri,"Luetkemeyer, Blaine",(202) 225-2956        
Missouri,"Hartzler, Vicky",(202) 225-2876        
Missouri,"Cleaver, Emanuel",(202) 225-4535        
Missouri,"Graves, Sam",(202) 225-7041        
Missouri,"Long, Billy",(202) 225-6536        
Missouri,"Smith, Jason",(202) 225-4404        
Montana,"Gianforte, Greg",(202) 225-3211        
Nebraska,"Fortenberry, Jeff",(202) 225-4806        
Nebraska,"Bacon, Don",(202) 225-4155        
Nebraska,"Smith, Adrian",(202) 225-6435        
Nevada,"Titus, Dina",(202) 225-5965        
Nevada,"Amodei, Mark",(202) 225-6155        
Nevada,"Lee, Susie",(202) 225-3252        
Nevada,"Horsford, Steven",(202) 225-9894        
New Hampshire,"Pappas, Chris",(202) 225-5456        
New Hampshire,"Kuster, Ann",(202) 225-5206        
New Jersey,"Norcross, Donald",(202) 225-6501        
New Jersey,"Van Drew, Jefferson",(202) 225-6572        
New Jersey,"Kim, Andy",(202) 225-4765        
New Jersey,"Smith, Chris",(202) 225-3765        
New Jersey,"Gottheimer, Josh",(202) 225-4465        
New Jersey,"Pallone Jr., Frank",(202) 225-4671        
New Jersey,"Malinowski, Tom",(202) 225-5361        
New Jersey,"Sires, Albio",(202) 225-7919        
New Jersey,"Pascrell Jr., Bill",(202) 225-5751        
New Jersey,"Payne Jr., Donald",(202) 225-3436        
New Jersey,"Sherrill, Mikie",(202) 225-5034        
New Jersey,"Watson Coleman, Bonnie",(202) 225-5801        
New Mexico,"Haaland, Debra",(202) 225-6316        
New Mexico,"Torres Small, Xochitl",(202) 225-2365        
New Mexico,"Luján, Ben R.",(202) 225-6190        
New York,"Zeldin, Lee",(202) 225-3826        
New York,"King, Pete",(202) 225-7896        
New York,"Suozzi, Thomas",(202) 225-3335        
New York,"Rice, Kathleen",(202) 225-5516        
New York,"Meeks, Gregory W.",(202) 225-3461        
New York,"Meng, Grace",(202) 225-2601        
New York,"Velázquez, Nydia M.",(202) 225-2361        
New York,"Jeffries, Hakeem",(202) 225-5936        
New York,"Clarke, Yvette D.",(202) 225-6231        
New York,"Nadler, Jerrold",(202) 225-5635        
New York,"Rose, Max",(202) 225-3371        
New York,"Maloney, Carolyn",(202) 225-7944        
New York,"Espaillat, Adriano",(202) 225-4365        
New York,"Ocasio-Cortez, Alexandria",(202) 225-3965        
New York,"Serrano, José E.",(202) 225-4361        
New York,"Engel, Eliot",(202) 225-2464        
New York,"Lowey, Nita",(202) 225-6506        
New York,"Maloney, Sean Patrick",(202) 225-5441        
New York,"Delgado, Antonio",(202) 225-5614        
New York,"Tonko, Paul D.",(202) 225-5076        
New York,"Stefanik, Elise",(202) 225-4611        
New York,"Brindisi, Anthony",(202) 225-3665        
New York,"Reed, Tom",(202) 225-3161        
New York,"Katko, John",(202) 225-3701        
New York,"Morelle, Joseph",(202) 225-3615        
New York,"Higgins, Brian",(202) 225-3306        
New York,"Collins, Chris",(202) 225-5265        
North Carolina,"Butterfield, G.K.",(202) 225-3101        
North Carolina,"Holding, George",(202) 225-3032        
North Carolina,"Murphy, Gregory Francis",(202) 225-3415        
North Carolina,"Price, David",(202) 225-1784        
North Carolina,"Foxx, Virginia",(202) 225-2071        
North Carolina,"Walker, Mark",(202) 225-3065        
North Carolina,"Rouzer, David",(202) 225-2731        
North Carolina,"Hudson, Richard",(202) 225-3715        
North Carolina,"Bishop, Dan",(202) 225-1976        
North Carolina,"McHenry, Patrick T.",(202) 225-2576        
North Carolina,"Meadows, Mark",(202) 225-6401        
North Carolina,"Adams, Alma",(202) 225-1510        
North Carolina,"Budd, Ted",(202) 225-4531        
North Dakota,"Armstrong, Kelly",(202) 225-2611        
Northern Mariana Islands,"Sablan, Gregorio",(202) 225-2646        
Ohio,"Chabot, Steve",(202) 225-2216        
Ohio,"Wenstrup, Brad",(202) 225-3164        
Ohio,"Beatty, Joyce",(202) 225-4324        
Ohio,"Jordan, Jim",(202) 225-2676        
Ohio,"Latta, Robert E.",(202) 225-6405        
Ohio,"Johnson, Bill",(202) 225-5705        
Ohio,"Gibbs, Bob",(202) 225-6265        
Ohio,"Davidson, Warren",(202) 225-6205        
Ohio,"Kaptur, Marcy",(202) 225-4146        
Ohio,"Turner, Michael",(202) 225-6465        
Ohio,"Fudge, Marcia L.",(202) 225-7032        
Ohio,"Balderson, Troy",(202) 225-5355        
Ohio,"Ryan, Tim",(202) 225-5261        
Ohio,"Joyce, David",(202) 225-5731        
Ohio,"Stivers, Steve",(202) 225-2015        
Ohio,"Gonzalez, Anthony",(202) 225-3876        
Oklahoma,"Hern, Kevin",(202) 225-2211        
Oklahoma,"Mullin, Markwayne",(202) 225-2701        
Oklahoma,"Lucas, Frank",(202) 225-5565        
Oklahoma,"Cole, Tom",(202) 225-6165        
Oklahoma,"Horn, Kendra",(202) 225-2132        
Oregon,"Bonamici, Suzanne",(202) 225-0855        
Oregon,"Walden, Greg",(202) 225-6730        
Oregon,"Blumenauer, Earl",(202) 225-4811        
Oregon,"DeFazio, Peter",(202) 225-6416        
Oregon,"Schrader, Kurt",(202) 225-5711        
Pennsylvania,"Fitzpatrick, Brian",(202) 225-4276        
Pennsylvania,"Boyle, Brendan",(202) 225-6111        
Pennsylvania,"Evans, Dwight",(202) 225-4001        
Pennsylvania,"Dean, Madeleine",(202) 225-4731        
Pennsylvania,"Scanlon, Mary Gay",(202) 225-2011        
Pennsylvania,"Houlahan, Chrissy",(202) 225-4315        
Pennsylvania,"Wild, Susan",(202) 225-6411        
Pennsylvania,"Cartwright, Matt",(202) 225-5546        
Pennsylvania,"Meuser, Daniel",(202) 225-6511        
Pennsylvania,"Perry, Scott",(202) 225-5836        
Pennsylvania,"Smucker, Lloyd",(202) 225-2411        
Pennsylvania,"Keller, Fred",(202) 225-3731        
Pennsylvania,"Joyce, John",(202) 225-2431        
Pennsylvania,"Reschenthaler, Guy",(202) 225-2065        
Pennsylvania,"Thompson, Glenn",(202) 225-5121        
Pennsylvania,"Kelly, Mike",(202) 225-5406        
Pennsylvania,"Lamb, Conor",(202) 225-2301        
Pennsylvania,"Doyle,  Michael",(202) 225-2135        
Puerto Rico,"González-Colón,  Jenniffer",(202) 225-2615        
Rhode Island,"Cicilline, David",(202) 225-4911        
Rhode Island,"Langevin, Jim",(202) 225-2735        
South Carolina,"Cunningham, Joe",(202) 225-3176        
South Carolina,"Wilson, Joe",(202) 225-2452        
South Carolina,"Duncan, Jeff",(202) 225-5301        
South Carolina,"Timmons, William",(202) 225-6030        
South Carolina,"Norman, Ralph",(202) 225-5501        
South Carolina,"Clyburn, James E.",(202) 225-3315        
South Carolina,"Rice, Tom",(202) 225-9895        
South Dakota,"Johnson, Dusty",(202) 225-2801        
Tennessee,"Roe, Phil",(202) 225-6356        
Tennessee,"Burchett, Tim",(202) 225-5435        
Tennessee,"Fleischmann, Chuck",(202) 225-3271        
Tennessee,"DesJarlais, Scott",(202) 225-6831        
Tennessee,"Cooper, Jim",(202) 225-4311        
Tennessee,"Rose, John W.",(202) 225-4231        
Tennessee,"Green, Mark",(202) 225-2811        
Tennessee,"Kustoff, David",(202) 225-4714        
Tennessee,"Cohen, Steve",(202) 225-3265        
Texas,"Gohmert, Louie",(202) 225-3035        
Texas,"Crenshaw, Dan",(202) 225-6565        
Texas,"Taylor, Van",(202) 225-4201        
Texas,"Ratcliffe, John",(202) 225-6673        
Texas,"Gooden, Lance",(202) 225-3484        
Texas,"Wright, Ron",(202) 225-2002        
Texas,"Fletcher, Lizzie",(202) 225-2571        
Texas,"Brady, Kevin",(202) 225-4901        
Texas,"Green, Al",(202) 225-7508        
Texas,"McCaul, Michael T.",(202) 225-2401        
Texas,"Conaway, K. Michael",(202) 225-3605        
Texas,"Granger, Kay",(202) 225-5071        
Texas,"Thornberry, Mac",(202) 225-3706        
Texas,"Weber, Randy",(202) 225-2831        
Texas,"Gonzalez, Vicente",(202) 225-2531        
Texas,"Escobar, Veronica",(202) 225-4831        
Texas,"Flores, Bill",(202) 225-6105        
Texas,"Jackson Lee, Sheila",(202) 225-3816        
Texas,"Arrington, Jodey",(202) 225-4005        
Texas,"Castro, Joaquin",(202) 225-3236        
Texas,"Roy, Chip",(202) 225-4236        
Texas,"Olson, Pete",(202) 225-5951        
Texas,"Hurd, Will",(202) 225-4511        
Texas,"Marchant, Kenny",(202) 225-6605        
Texas,"Williams, Roger",(202) 225-9896        
Texas,"Burgess, Michael",(202) 225-7772        
Texas,"Cloud, Michael",(202) 225-7742        
Texas,"Cuellar, Henry",(202) 225-1640        
Texas,"Garcia, Sylvia",(202) 225-1688        
Texas,"Johnson, Eddie Bernice",(202) 225-8885        
Texas,"Carter, John",(202) 225-3864        
Texas,"Allred, Colin",(202) 225-2231        
Texas,"Veasey, Marc",(202) 225-9897        
Texas,"Vela, Filemon",(202) 225-9901        
Texas,"Doggett, Lloyd",(202) 225-4865        
Texas,"Babin, Brian",(202) 225-1555        
Utah,"Bishop, Rob",(202) 225-0453        
Utah,"Stewart, Chris",(202) 225-9730        
Utah,"Curtis, John R.",(202) 225-7751        
Utah,"McAdams, Ben",(202) 225-3011        
Vermont,"Welch, Peter",(202) 225-4115        
Virgin Islands,"Plaskett, Stacey",(202) 225-1790        
Virginia,"Wittman, Robert J.",(202) 225-4261        
Virginia,"Luria, Elaine",(202) 225-4215        
Virginia,"Scott, Robert C.",(202) 225-8351        
Virginia,"McEachin, A. Donald",(202) 225-6365        
Virginia,"Riggleman, Denver",(202) 225-4711        
Virginia,"Cline, Ben",(202) 225-5431        
Virginia,"Spanberger, Abigail",(202) 225-2815        
Virginia,"Beyer, Don",(202) 225-4376        
Virginia,"Griffith, Morgan",(202) 225-3861        
Virginia,"Wexton, Jennifer",(202) 225-5136        
Virginia,"Connolly, Gerald E. ""Gerry""",(202) 225-1492        
Washington,"DelBene, Suzan",(202) 225-6311        
Washington,"Larsen, Rick",(202) 225-2605        
Washington,"Herrera Beutler, Jaime",(202) 225-3536        
Washington,"Newhouse, Dan",(202) 225-5816        
Washington,"Rodgers, Cathy McMorris",(202) 225-2006        
Washington,"Kilmer, Derek",(202) 225-5916        
Washington,"Jayapal, Pramila",(202) 225-3106        
Washington,"Schrier, Kim",(202) 225-7761        
Washington,"Smith, Adam",(202) 225-8901        
Washington,"Heck, Denny",(202) 225-9740        
West Virginia,"McKinley, David",(202) 225-4172        
West Virginia,"Mooney, Alex",(202) 225-2711        
West Virginia,"Miller, Carol",(202) 225-3452        
Wisconsin,"Steil, Bryan",(202) 225-3031        
Wisconsin,"Pocan, Mark",(202) 225-2906        
Wisconsin,"Kind, Ron",(202) 225-5506        
Wisconsin,"Moore, Gwen",(202) 225-4572        
Wisconsin,"Sensenbrenner, F. James",(202) 225-5101        
Wisconsin,"Grothman, Glenn",(202) 225-2476        
Wisconsin,"Duffy, Sean P.",(202) 225-3365        
Wisconsin,"Gallagher, Mike",(202) 225-5665        
